area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,665000.0
6000,3,2,3,yes,yes,no,no,yes,0,no,furnished,665000.0
4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,661500.0
10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished,661500.0
6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,658000.0
8250,3,2,3,yes,no,no,no,yes,0,no,furnished,651000.0
7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,647500.0
8580,5,3,2,yes,no,no,no,no,2,no,furnished,644000.0
5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,644000.0
6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished,641900.0
4800,3,2,4,yes,yes,no,no,yes,0,no,furnished,640500.0
7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished,630000.0
6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished,630000.0
4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,630000.0
9000,3,1,1,yes,no,yes,no,no,1,yes,furnished,630000.0
6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,630000.0
6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished,629300.0
6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished,626500.0
6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished,623000.0
5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished,619500.0
6350,3,2,3,yes,yes,no,no,yes,0,no,furnished,619500.0
5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished,619500.0
4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished,616000.0
5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,616000.0
6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished,609000.0
6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,609000.0
8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished,609000.0
4300,6,2,2,yes,no,no,no,no,0,no,furnished,608300.0
9620,3,1,1,yes,no,yes,no,no,2,yes,furnished,608300.0
6800,2,1,1,yes,yes,yes,no,no,2,no,furnished,602000.0
8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,602000.0
6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished,602000.0
3700,4,1,2,yes,yes,no,no,yes,0,no,furnished,595000.0
6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished,595000.0
7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,595000.0
6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,595000.0
7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,595000.0
6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,595000.0
7320,4,2,2,yes,no,no,no,no,0,no,furnished,595000.0
6525,3,2,4,yes,no,no,no,no,1,no,furnished,595000.0
7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,588000.0
6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished,588000.0
5500,3,1,3,yes,yes,no,no,yes,1,no,furnished,587300.0
11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,587300.0
4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished,586600.0
5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished,581000.0
5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,581000.0
4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished,581000.0
7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,580300.0
6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished,577500.0
5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished,574000.0
4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished,574000.0
5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,574000.0
6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,574000.0
5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished,574000.0
6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,565250.0
10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished,560000.0
4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished,560000.0
4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished,560000.0
5000,3,1,4,yes,no,no,no,no,0,no,furnished,560000.0
10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished,560000.0
5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished,560000.0
6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished,560000.0
6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished,560000.0
5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,560000.0
4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished,556500.0
3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished,553000.0
6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,553000.0
6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,552300.0
2817,4,2,2,no,yes,yes,no,no,1,no,furnished,549500.0
7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished,549500.0
3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished,546000.0
6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,546000.0
6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,546000.0
6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,542500.0
6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,539000.0
6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished,538300.0
7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished,532000.0
4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,528500.0
4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,525000.0
6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished,525000.0
5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,525000.0
10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,525000.0
8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,525000.0
5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished,525000.0
3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,525000.0
6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished,524300.0
7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,522900.0
3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,521500.0
4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished,521500.0
7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished,521500.0
3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished,514500.0
7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,514500.0
3000,3,2,2,yes,yes,yes,no,no,0,no,furnished,511000.0
11410,2,1,2,yes,no,no,no,no,0,yes,furnished,511000.0
6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,511000.0
5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,507500.0
3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished,504000.0
6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished,504000.0
4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,503300.0
8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished,500500.0
4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished,497000.0
7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,497000.0
2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,495600.0
5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,493500.0
4200,3,1,2,yes,no,no,no,no,1,no,furnished,490700.0
4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,490000.0
4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished,490000.0
4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,490000.0
5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished,490000.0
4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished,490000.0
6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,490000.0
5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,490000.0
3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,490000.0
2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished,490000.0
6720,3,1,1,yes,no,no,no,no,0,no,unfurnished,490000.0
4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished,490000.0
3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,489300.0
4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,489300.0
4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,483000.0
6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,483000.0
6862,3,1,2,yes,no,no,no,yes,2,yes,furnished,483000.0
4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished,483000.0
7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,479500.0
3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished,476700.0
6321,3,1,2,yes,no,yes,no,yes,1,no,furnished,476000.0
10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,476000.0
6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished,475300.0
5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished,469000.0
6000,2,1,1,yes,no,yes,no,yes,1,no,furnished,469000.0
3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished,469000.0
5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished,469000.0
4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,469000.0
3745,3,1,2,yes,no,yes,no,no,0,no,furnished,465500.0
4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished,462000.0
3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,462000.0
2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,462000.0
5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,462000.0
4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished,461300.0
4000,3,1,2,yes,no,no,no,no,1,no,furnished,458500.0
3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished,458500.0
3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished,455000.0
3640,3,1,2,yes,no,no,no,yes,0,no,furnished,455000.0
2550,3,1,2,yes,no,yes,no,no,0,no,furnished,455000.0
5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,455000.0
5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished,455000.0
3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,455000.0
8400,4,1,4,yes,no,no,no,no,3,no,unfurnished,455000.0
4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished,454300.0
4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished,454300.0
3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,451500.0
3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,451500.0
9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished,451500.0
3520,2,1,2,yes,no,no,no,no,0,yes,furnished,451500.0
4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,448000.0
5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,448000.0
4000,3,1,2,yes,no,no,no,no,2,no,furnished,448000.0
8250,3,1,1,yes,no,no,no,no,0,no,furnished,448000.0
4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,448000.0
6360,2,1,1,yes,no,yes,no,yes,1,no,furnished,447300.0
3162,3,1,2,yes,no,no,no,yes,1,no,furnished,447300.0
3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished,447300.0
3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,444500.0
3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,441000.0
4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,441000.0
2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,440300.0
4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished,440300.0
4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished,440300.0
3900,3,1,2,yes,no,no,no,no,0,no,unfurnished,437500.0
4500,3,2,3,yes,no,no,yes,no,1,no,furnished,434000.0
1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished,434000.0
4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,434000.0
3500,4,1,2,yes,no,no,no,no,2,no,furnished,434000.0
6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished,434000.0
4032,2,1,1,yes,no,yes,no,no,0,no,furnished,431900.0
4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished,430500.0
10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished,430500.0
3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished,427700.0
6360,2,1,1,yes,no,no,no,no,0,no,furnished,427000.0
6360,2,1,2,yes,no,no,no,no,0,no,unfurnished,427000.0
4500,2,1,1,yes,no,no,no,yes,2,no,furnished,427000.0
2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished,427000.0
4360,4,1,2,yes,no,no,no,no,0,no,furnished,427000.0
7770,2,1,1,yes,no,no,no,no,1,no,furnished,427000.0
6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished,423500.0
2787,3,1,1,yes,no,yes,no,no,0,yes,furnished,423500.0
5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,420000.0
5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,420000.0
5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished,420000.0
2610,4,3,2,no,no,no,no,no,0,no,semi-furnished,420000.0
2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,420000.0
2747,4,2,2,no,no,no,no,no,0,no,semi-furnished,420000.0
4410,2,1,1,no,no,no,no,no,1,no,unfurnished,420000.0
4000,4,2,2,no,no,no,no,no,0,no,semi-furnished,420000.0
2325,3,1,2,no,no,no,no,no,0,no,semi-furnished,420000.0
4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished,420000.0
3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished,420000.0
5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished,420000.0
7000,3,1,1,yes,no,no,no,no,3,no,furnished,420000.0
4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished,420000.0
3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,420000.0
2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished,420000.0
4500,3,1,1,yes,no,yes,no,no,0,no,furnished,420000.0
8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,419300.0
3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished,419300.0
4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished,416500.0
4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished,416500.0
4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,416500.0
5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished,413000.0
6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,412300.0
3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished,409850.0
3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished,409500.0
4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished,409500.0
5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished,409500.0
5900,4,2,2,no,no,yes,no,no,1,no,unfurnished,406000.0
4992,3,2,2,yes,no,no,no,no,2,no,unfurnished,406000.0
4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished,406000.0
3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished,406000.0
4320,3,1,2,yes,no,no,no,no,2,yes,furnished,406000.0
3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished,402500.0
3460,3,2,1,yes,no,yes,no,yes,1,no,furnished,402500.0
5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished,402500.0
4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished,400750.0
3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,400750.0
4100,4,1,1,no,no,yes,no,no,0,no,unfurnished,399000.0
4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished,399000.0
3960,3,1,2,yes,no,no,no,no,0,no,furnished,399000.0
4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished,399000.0
3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished,392000.0
3290,2,1,1,yes,no,no,yes,no,1,no,furnished,392000.0
3816,2,1,1,yes,no,yes,no,yes,2,no,furnished,392000.0
2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished,392000.0
3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished,388500.0
3180,4,2,2,yes,no,no,no,no,0,no,furnished,388500.0
3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished,385000.0
4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished,385000.0
3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished,385000.0
2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished,385000.0
2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished,385000.0
3350,3,1,2,yes,no,no,no,no,0,no,unfurnished,383600.0
3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished,381500.0
4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished,378000.0
3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,378000.0
3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished,378000.0
5830,2,1,1,yes,no,no,no,no,2,no,unfurnished,378000.0
2856,3,1,3,yes,no,no,no,no,0,yes,furnished,378000.0
8400,2,1,1,yes,no,no,no,no,1,no,furnished,378000.0
3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,374500.0
3600,3,1,1,yes,no,no,no,no,1,no,unfurnished,371000.0
4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished,371000.0
6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished,371000.0
4050,2,1,1,yes,no,no,no,no,0,no,furnished,371000.0
3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished,371000.0
3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished,370300.0
5450,2,1,1,yes,no,no,no,no,0,no,furnished,370300.0
3630,2,1,1,yes,no,yes,no,no,0,no,furnished,367500.0
3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished,367500.0
5640,2,1,1,no,no,no,no,no,0,no,semi-furnished,367500.0
3600,2,1,1,yes,no,no,no,no,0,no,furnished,367500.0
4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished,364000.0
3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,364000.0
3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished,364000.0
3000,2,1,2,yes,no,no,no,yes,0,no,furnished,364000.0
3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished,364000.0
5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished,364000.0
4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished,364000.0
2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished,364000.0
2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished,364000.0
3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished,363300.0
4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished,360500.0
4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,360500.0
3150,3,1,2,yes,no,yes,no,no,0,no,furnished,357000.0
4500,4,2,2,yes,no,yes,no,no,2,no,furnished,357000.0
4500,2,1,1,no,no,no,no,no,0,no,furnished,357000.0
3640,2,1,1,yes,no,no,no,no,0,no,unfurnished,357000.0
3850,3,1,1,yes,no,no,no,no,2,no,unfurnished,353500.0
3650,3,1,2,yes,no,no,no,no,0,no,unfurnished,350000.0
4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished,350000.0
2135,3,2,2,no,no,no,no,no,0,no,unfurnished,350000.0
3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,350000.0
3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished,350000.0
7424,3,1,1,no,no,no,no,no,0,no,unfurnished,350000.0
3480,3,1,1,no,no,no,no,yes,0,no,unfurnished,350000.0
3600,6,1,2,yes,no,no,no,no,1,no,unfurnished,350000.0
3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished,350000.0
5900,2,1,1,yes,no,no,no,no,1,no,furnished,350000.0
3120,3,1,2,yes,no,no,no,no,1,no,unfurnished,350000.0
7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished,350000.0
3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished,350000.0
5880,2,1,1,yes,no,no,no,no,0,no,unfurnished,350000.0
4900,3,1,2,no,no,no,no,no,0,no,unfurnished,349300.0
3060,3,1,1,yes,no,no,no,no,0,no,unfurnished,346500.0
5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished,346500.0
2145,3,1,3,yes,no,no,no,no,0,yes,furnished,346500.0
4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,343000.0
3185,2,1,1,yes,no,no,no,no,2,no,unfurnished,343000.0
3850,3,1,1,yes,no,no,no,no,0,no,unfurnished,343000.0
2145,3,1,3,yes,no,no,no,no,0,yes,furnished,343000.0
2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished,343000.0
1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished,343000.0
4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,342300.0
3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished,339500.0
3640,2,1,1,yes,no,no,no,no,0,no,furnished,339500.0
4960,4,1,3,no,no,no,no,no,0,no,semi-furnished,336000.0
4120,2,1,2,yes,no,no,no,no,0,no,unfurnished,336000.0
4750,2,1,1,yes,no,no,no,no,0,no,unfurnished,336000.0
3720,2,1,1,no,no,no,no,yes,0,no,unfurnished,336000.0
3750,3,1,1,yes,no,no,no,no,0,no,unfurnished,336000.0
3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished,336000.0
3185,2,1,1,yes,no,yes,no,no,2,no,furnished,336000.0
2700,3,1,1,no,no,no,no,no,0,no,furnished,335300.0
2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,333200.0
4040,2,1,1,yes,no,no,no,no,1,no,unfurnished,332500.0
4775,4,1,2,yes,no,no,no,no,0,no,unfurnished,332500.0
2500,2,1,1,no,no,no,no,yes,0,no,unfurnished,329000.0
3480,4,1,2,no,no,no,no,no,1,no,semi-furnished,329000.0
3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished,329000.0
4040,2,1,1,yes,no,no,no,no,0,no,unfurnished,329000.0
2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,329000.0
5880,3,1,1,yes,no,no,no,no,1,no,unfurnished,329000.0
4500,2,1,1,no,no,no,no,no,0,no,semi-furnished,325500.0
3930,2,1,1,no,no,no,no,no,0,no,unfurnished,325500.0
3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished,323400.0
4370,3,1,2,yes,no,no,no,no,0,no,unfurnished,322000.0
2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished,322000.0
4320,3,1,1,no,no,no,no,no,1,no,unfurnished,322000.0
3120,3,1,2,no,no,no,no,no,0,no,furnished,322000.0
3450,1,1,1,yes,no,no,no,no,0,no,furnished,315000.0
3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished,315000.0
3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished,315000.0
4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished,315000.0
1650,3,1,2,no,no,yes,no,no,0,no,unfurnished,315000.0
3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,315000.0
6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished,315000.0
3069,2,1,1,yes,no,no,no,no,1,no,unfurnished,315000.0
5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished,312900.0
2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,311885.0
3000,3,1,1,no,no,no,no,yes,0,no,unfurnished,311500.0
3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,311500.0
3500,2,1,1,yes,no,no,no,no,0,no,unfurnished,311500.0
8100,2,1,1,yes,no,no,no,no,1,no,unfurnished,308700.0
4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished,308000.0
2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished,308000.0
3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished,308000.0
4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,308000.0
3800,2,1,1,yes,no,no,no,no,0,no,unfurnished,304500.0
3090,3,1,2,no,no,no,no,no,0,no,semi-furnished,301000.0
3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished,301000.0
2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished,301000.0
4600,2,1,1,yes,no,no,no,no,0,no,furnished,301000.0
5076,3,1,1,no,no,no,no,no,0,no,unfurnished,301000.0
3750,3,1,2,yes,no,no,no,no,0,no,unfurnished,301000.0
3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished,301000.0
8050,2,1,1,yes,no,no,no,no,0,no,unfurnished,300300.0
4352,4,1,2,no,no,no,no,no,1,no,unfurnished,297500.0
