area,bedrooms,basement,furnishingstatus,price
4880,3,no,unfurnished,440300
4920,3,no,semi-furnished,440300
3900,3,no,unfurnished,437500
4500,3,no,furnished,434000
1905,5,yes,semi-furnished,434000
4075,3,yes,semi-furnished,434000
3500,4,no,furnished,434000
6450,4,no,semi-furnished,434000
4032,2,yes,furnished,431900
4400,2,no,semi-furnished,430500
10360,2,no,semi-furnished,430500
3400,3,yes,semi-furnished,427700
6360,2,no,furnished,427000
6360,2,no,unfurnished,427000
4500,2,no,furnished,427000
2175,3,yes,unfurnished,427000
4360,4,no,furnished,427000
7770,2,no,furnished,427000
6650,3,no,semi-furnished,423500
2787,3,yes,furnished,423500
5500,3,no,unfurnished,420000
5040,3,yes,unfurnished,420000
5850,2,yes,semi-furnished,420000
2610,4,no,semi-furnished,420000
2953,3,yes,unfurnished,420000
2747,4,no,semi-furnished,420000
4410,2,no,unfurnished,420000
4000,4,no,semi-furnished,420000
2325,3,no,semi-furnished,420000
4600,3,no,semi-furnished,420000
3640,3,yes,unfurnished,420000
5800,3,no,semi-furnished,420000
7000,3,no,furnished,420000
4079,3,no,semi-furnished,420000
3520,3,no,semi-furnished,420000
2145,3,no,unfurnished,420000
4500,3,yes,furnished,420000
8250,3,yes,semi-furnished,419300
3450,3,no,semi-furnished,419300
4840,3,no,semi-furnished,416500
4080,3,no,semi-furnished,416500
4046,3,yes,semi-furnished,416500
5985,3,yes,semi-furnished,413000
6060,2,yes,semi-furnished,412300
3600,3,yes,furnished,409850
3680,3,no,semi-furnished,409500
4040,2,no,semi-furnished,409500
5600,2,no,semi-furnished,409500
5900,4,yes,unfurnished,406000
4992,3,no,unfurnished,406000
4340,3,no,semi-furnished,406000
3000,4,yes,semi-furnished,406000
4320,3,no,furnished,406000
3630,3,no,semi-furnished,402500
3460,3,yes,furnished,402500
5400,3,no,semi-furnished,402500
4500,3,yes,semi-furnished,400750
3460,4,no,semi-furnished,400750
4100,4,yes,unfurnished,399000
4500,3,yes,semi-furnished,399000
3960,3,no,furnished,399000
4050,2,yes,unfurnished,399000
3000,3,no,semi-furnished,392000
3290,2,no,furnished,392000
3816,2,yes,furnished,392000
2145,4,yes,unfurnished,392000
3780,2,yes,semi-furnished,388500
3180,4,no,furnished,388500
3180,2,yes,semi-furnished,385000
4080,2,no,semi-furnished,385000
3850,2,no,semi-furnished,385000
2015,3,yes,semi-furnished,385000
2176,2,no,semi-furnished,385000
3350,3,no,unfurnished,383600
3150,2,yes,semi-furnished,381500
4820,3,no,semi-furnished,378000
3420,2,no,semi-furnished,378000
3600,2,no,semi-furnished,378000
5830,2,no,unfurnished,378000
2856,3,no,furnished,378000
8400,2,no,furnished,378000
3480,2,no,semi-furnished,374500
3600,3,no,unfurnished,371000
4040,2,no,semi-furnished,371000
6020,3,no,semi-furnished,371000
4050,2,no,furnished,371000
3584,2,no,semi-furnished,371000
3120,3,yes,semi-furnished,370300
5450,2,no,furnished,370300
3630,2,yes,furnished,367500
3630,2,no,unfurnished,367500
5640,2,no,semi-furnished,367500
3600,2,no,furnished,367500
4280,2,no,semi-furnished,364000
3570,3,yes,semi-furnished,364000
3180,3,yes,semi-furnished,364000
3000,2,no,furnished,364000
3520,2,yes,semi-furnished,364000
5960,3,yes,unfurnished,364000
4130,3,no,semi-furnished,364000
2850,3,yes,unfurnished,364000
2275,3,no,semi-furnished,364000
3520,3,no,unfurnished,363300
4500,2,no,semi-furnished,360500
4000,2,no,semi-furnished,360500
3150,3,yes,furnished,357000
4500,4,yes,furnished,357000
4500,2,no,furnished,357000
3640,2,no,unfurnished,357000
3850,3,no,unfurnished,353500
3650,3,no,unfurnished,350000
4600,4,no,semi-furnished,350000
2135,3,no,unfurnished,350000
3036,3,yes,semi-furnished,350000
3990,3,no,semi-furnished,350000
7424,3,no,unfurnished,350000
3480,3,no,unfurnished,350000
3600,6,no,unfurnished,350000
3640,2,no,semi-furnished,350000
5900,2,no,furnished,350000
3120,3,no,unfurnished,350000
7350,2,no,semi-furnished,350000
3512,2,no,unfurnished,350000
5880,2,no,unfurnished,350000
4900,3,no,unfurnished,349300
3060,3,no,unfurnished,346500
5320,2,no,unfurnished,346500
2145,3,no,furnished,346500
4000,2,no,unfurnished,343000
3185,2,no,unfurnished,343000
3850,3,no,unfurnished,343000
2145,3,no,furnished,343000
2610,3,yes,unfurnished,343000
1950,3,yes,unfurnished,343000
4040,2,no,unfurnished,342300
3450,3,yes,unfurnished,339500
3640,2,no,furnished,339500
4960,4,no,semi-furnished,336000
4120,2,no,unfurnished,336000
4750,2,no,unfurnished,336000
3720,2,no,unfurnished,336000
3750,3,no,unfurnished,336000
3100,3,yes,semi-furnished,336000
3185,2,yes,furnished,336000
2700,3,no,furnished,335300
2145,3,yes,furnished,333200
4040,2,no,unfurnished,332500
4775,4,no,unfurnished,332500
2500,2,no,unfurnished,329000
3480,4,no,semi-furnished,329000
3792,4,no,semi-furnished,329000
4040,2,no,unfurnished,329000
2145,3,yes,furnished,329000
5880,3,no,unfurnished,329000
4500,2,no,semi-furnished,325500
3930,2,no,unfurnished,325500
3640,4,yes,unfurnished,323400
4370,3,no,unfurnished,322000
2684,2,no,unfurnished,322000
4320,3,no,unfurnished,322000
3120,3,no,furnished,322000
3450,1,no,furnished,315000
3986,2,yes,unfurnished,315000
3500,2,yes,semi-furnished,315000
4095,2,no,semi-furnished,315000
1650,3,yes,unfurnished,315000
3450,3,yes,semi-furnished,315000
6750,2,no,semi-furnished,315000
3069,2,no,unfurnished,315000
5495,3,yes,unfurnished,312900
2398,3,no,semi-furnished,311885
3000,3,no,unfurnished,311500
3850,3,no,unfurnished,311500
3500,2,no,unfurnished,311500
8100,2,no,unfurnished,308700
4960,2,yes,unfurnished,308000
2160,3,yes,semi-furnished,308000
3090,2,yes,unfurnished,308000
4500,2,no,semi-furnished,308000
3800,2,no,unfurnished,304500
3090,3,no,semi-furnished,301000
3240,3,no,semi-furnished,301000
2835,2,no,semi-furnished,301000
4600,2,no,furnished,301000
5076,3,no,unfurnished,301000
3750,3,no,unfurnished,301000
3630,4,no,semi-furnished,301000
8050,2,no,unfurnished,300300
4352,4,no,unfurnished,297500
3000,2,no,semi-furnished,296100
5850,3,yes,unfurnished,294000
4960,2,no,unfurnished,294000
3600,3,no,unfurnished,294000
3660,4,no,unfurnished,294000
3480,3,no,semi-furnished,294000
2700,2,no,furnished,294000
3150,3,no,unfurnished,294000
3040,2,no,unfurnished,287000
3630,2,no,unfurnished,287000
6000,2,no,semi-furnished,287000
5200,4,no,unfurnished,285250
3300,3,no,semi-furnished,283500
4350,3,no,unfurnished,283500
2640,2,no,furnished,283500
2650,3,yes,unfurnished,280000
3960,3,no,furnished,280000
6800,2,no,unfurnished,273000
4000,3,no,unfurnished,273000
4000,2,no,unfurnished,269500
3934,2,no,unfurnished,266000
2000,2,no,semi-furnished,266000
3630,3,no,unfurnished,266000
2800,3,no,unfurnished,266000
2430,3,no,unfurnished,266000
3480,2,no,semi-furnished,266000
4000,3,no,semi-furnished,266000
3185,2,no,unfurnished,265300
2910,2,no,unfurnished,260400
3600,2,no,unfurnished,259000
4400,2,no,unfurnished,259000
3600,2,yes,furnished,259000
2880,3,no,unfurnished,252000
3180,3,no,unfurnished,252000
3000,2,no,furnished,252000
4400,3,no,unfurnished,248500
3000,3,no,semi-furnished,248500
3210,3,yes,unfurnished,245000
3240,2,no,unfurnished,245000
3000,2,no,unfurnished,245000
3500,2,no,unfurnished,245000
4840,2,no,unfurnished,245000
3635,2,no,unfurnished,240800
2475,3,no,furnished,238000
3264,2,no,unfurnished,238000
3640,2,no,unfurnished,234500
3180,2,no,unfurnished,231000
1836,2,yes,semi-furnished,227500
3970,1,no,unfurnished,227500
3970,3,yes,unfurnished,227500
1950,3,no,unfurnished,224000
3000,2,no,unfurnished,213500
2400,3,no,unfurnished,210000
3000,4,no,unfurnished,210000
3360,2,no,unfurnished,210000
1700,3,no,unfurnished,189000
3649,2,no,unfurnished,189000
2990,2,no,unfurnished,185500
3000,2,yes,unfurnished,182000
3620,2,no,unfurnished,175000
